coin,ticker,event_ticker,rank,favored_side,entry_price,opened_at,result,won,pnl,closed_at
HYPE,KXHYPED-26SEP2120-T92.9999,KXHYPED-26SEP2120,9,yes,0.97,2026-09-21T23:33:15.684459+00:00,yes,True,0.03,2026-09-22T01:47:53.147251+00:00
HYPE,KXHYPED-26SEP2120-T92.7499,KXHYPED-26SEP2120,10,yes,0.99,2026-09-21T23:33:15.684482+00:00,yes,True,0.01,2026-09-22T01:47:53.147290+00:00
SOL,KXSOLD-26SEP2120-T119.9999,KXSOLD-26SEP2120,4,no,0.95,2026-09-21T23:33:15.770025+00:00,no,True,0.05,2026-09-22T01:47:53.147507+00:00
SOL,KXSOLD-26SEP2120-T119.7499,KXSOLD-26SEP2120,6,no,0.96,2026-09-21T23:33:15.770048+00:00,no,True,0.04,2026-09-22T01:47:53.147544+00:00
SOL,KXSOLD-26SEP2120-T119.4999,KXSOLD-26SEP2120,3,no,0.95,2026-09-21T23:33:15.770071+00:00,no,True,0.05,2026-09-22T01:47:53.147581+00:00
SOL,KXSOLD-26SEP2120-T118.4999,KXSOLD-26SEP2120,9,yes,0.73,2026-09-21T23:33:15.770110+00:00,yes,True,0.27,2026-09-22T01:47:53.147617+00:00
HYPE,KXHYPED-26SEP2122-T94.4999,KXHYPED-26SEP2122,8,no,0.99,2026-09-22T01:47:53.208892+00:00,no,True,0.01,2026-09-22T06:50:29.783603+00:00
HYPE,KXHYPED-26SEP2122-T94.2499,KXHYPED-26SEP2122,5,no,0.98,2026-09-22T01:47:53.208928+00:00,no,True,0.02,2026-09-22T06:50:29.783688+00:00
HYPE,KXHYPED-26SEP2122-T92.9999,KXHYPED-26SEP2122,6,yes,0.99,2026-09-22T01:47:53.208960+00:00,yes,True,0.01,2026-09-22T06:50:29.783753+00:00
HYPE,KXHYPED-26SEP2122-T92.7499,KXHYPED-26SEP2122,7,yes,0.99,2026-09-22T01:47:53.208992+00:00,yes,True,0.01,2026-09-22T06:50:29.783816+00:00
HYPE,KXHYPED-26SEP2122-T92.4999,KXHYPED-26SEP2122,9,yes,0.99,2026-09-22T01:47:53.209051+00:00,yes,True,0.01,2026-09-22T06:50:29.783878+00:00
HYPE,KXHYPED-26SEP2122-T92.2499,KXHYPED-26SEP2122,10,yes,0.99,2026-09-22T01:47:53.209106+00:00,yes,True,0.01,2026-09-22T06:50:29.783940+00:00
SOL,KXSOLD-26SEP2122-T118.7499,KXSOLD-26SEP2122,8,no,0.96,2026-09-22T01:47:53.255592+00:00,no,True,0.04,2026-09-22T06:50:29.784218+00:00
SOL,KXSOLD-26SEP2122-T118.2499,KXSOLD-26SEP2122,4,no,0.94,2026-09-22T01:47:53.255624+00:00,no,True,0.06,2026-09-22T06:50:29.784284+00:00
SOL,KXSOLD-26SEP2122-T117.9999,KXSOLD-26SEP2122,3,no,0.88,2026-09-22T01:47:53.255655+00:00,no,True,0.12,2026-09-22T06:50:29.784345+00:00
SOL,KXSOLD-26SEP2122-T117.7499,KXSOLD-26SEP2122,5,no,0.69,2026-09-22T01:47:53.255685+00:00,no,True,0.31,2026-09-22T06:50:29.784406+00:00
SOL,KXSOLD-26SEP2122-T117.2499,KXSOLD-26SEP2122,9,yes,0.86,2026-09-22T01:47:53.255716+00:00,yes,True,0.14,2026-09-22T06:50:29.784466+00:00
SOL,KXSOLD-26SEP2122-T116.9999,KXSOLD-26SEP2122,7,yes,0.97,2026-09-22T01:47:53.255746+00:00,yes,True,0.03,2026-09-22T06:50:29.784527+00:00
SOL,KXSOLD-26SEP2122-T116.7499,KXSOLD-26SEP2122,6,yes,0.97,2026-09-22T01:47:53.255775+00:00,yes,True,0.03,2026-09-22T06:50:29.784594+00:00
BNB,KXBNBD-26SEP2122-T804.99,KXBNBD-26SEP2122,7,no,0.97,2026-09-22T01:47:53.315727+00:00,no,True,0.03,2026-09-22T06:50:29.784707+00:00
BNB,KXBNBD-26SEP2122-T799.99,KXBNBD-26SEP2122,6,no,0.96,2026-09-22T01:47:53.315777+00:00,no,True,0.04,2026-09-22T06:50:29.784775+00:00
HYPE,KXHYPED-26SEP2203-T94.7499,KXHYPED-26SEP2203,7,no,0.97,2026-09-22T06:50:29.836774+00:00,no,True,0.03,2026-09-22T12:06:10.573050+00:00
HYPE,KXHYPED-26SEP2203-T94.4999,KXHYPED-26SEP2203,5,no,0.86,2026-09-22T06:50:29.836836+00:00,no,True,0.14,2026-09-22T12:06:10.573155+00:00
SOL,KXSOLD-26SEP2203-T117.4999,KXSOLD-26SEP2203,8,no,0.97,2026-09-22T06:50:29.885763+00:00,no,True,0.03,2026-09-22T12:06:10.573225+00:00
SOL,KXSOLD-26SEP2203-T117.2499,KXSOLD-26SEP2203,6,no,0.98,2026-09-22T06:50:29.885824+00:00,no,True,0.02,2026-09-22T12:06:10.573288+00:00
SOL,KXSOLD-26SEP2203-T116.9999,KXSOLD-26SEP2203,4,no,0.96,2026-09-22T06:50:29.885875+00:00,no,True,0.04,2026-09-22T12:06:10.573350+00:00
SOL,KXSOLD-26SEP2203-T116.2499,KXSOLD-26SEP2203,3,yes,0.94,2026-09-22T06:50:29.885923+00:00,yes,True,0.06,2026-09-22T12:06:10.573413+00:00
SOL,KXSOLD-26SEP2203-T115.9999,KXSOLD-26SEP2203,5,yes,0.97,2026-09-22T06:50:29.885970+00:00,yes,True,0.03,2026-09-22T12:06:10.573475+00:00
SOL,KXSOLD-26SEP2203-T115.7499,KXSOLD-26SEP2203,7,yes,0.97,2026-09-22T06:50:29.886016+00:00,yes,True,0.03,2026-09-22T12:06:10.573536+00:00
SOL,KXSOLD-26SEP2209-T116.9999,KXSOLD-26SEP2209,4,yes,0.69,2026-09-22T12:06:10.795628+00:00,yes,True,0.31,2026-09-22T16:51:40.865384+00:00
SOL,KXSOLD-26SEP2209-T116.7499,KXSOLD-26SEP2209,5,yes,0.81,2026-09-22T12:06:10.795693+00:00,yes,True,0.1899999999999999,2026-09-22T16:51:40.865445+00:00
SOL,KXSOLD-26SEP2209-T116.2499,KXSOLD-26SEP2209,3,yes,0.92,2026-09-22T12:06:10.795745+00:00,yes,True,0.0799999999999999,2026-09-22T16:51:40.865485+00:00
HYPE,KXHYPED-26SEP2213-T95.2499,KXHYPED-26SEP2213,5,yes,0.92,2026-09-22T16:51:40.947514+00:00,yes,True,0.0799999999999999,2026-09-22T19:55:46.775160+00:00
HYPE,KXHYPED-26SEP2213-T94.7499,KXHYPED-26SEP2213,6,yes,0.96,2026-09-22T16:51:40.947564+00:00,yes,True,0.04,2026-09-22T19:55:46.775237+00:00
SOL,KXSOLD-26SEP2213-T117.9999,KXSOLD-26SEP2213,8,no,0.91,2026-09-22T16:51:41.014181+00:00,no,True,0.0899999999999999,2026-09-22T19:55:46.775302+00:00
SOL,KXSOLD-26SEP2213-T117.7499,KXSOLD-26SEP2213,4,no,0.71,2026-09-22T16:51:41.014256+00:00,no,True,0.29,2026-09-22T19:55:46.775363+00:00
SOL,KXSOLD-26SEP2213-T117.4999,KXSOLD-26SEP2213,7,yes,0.63,2026-09-22T16:51:41.014297+00:00,yes,True,0.37,2026-09-22T19:55:46.775423+00:00
SOL,KXSOLD-26SEP2213-T116.7499,KXSOLD-26SEP2213,3,yes,0.97,2026-09-22T16:51:41.014331+00:00,yes,True,0.03,2026-09-22T19:55:46.775511+00:00
SOL,KXSOLD-26SEP2213-T116.4999,KXSOLD-26SEP2213,5,yes,0.96,2026-09-22T16:51:41.014370+00:00,yes,True,0.04,2026-09-22T19:55:46.775576+00:00
SOL,KXSOLD-26SEP2213-T116.2499,KXSOLD-26SEP2213,6,yes,0.97,2026-09-22T16:51:41.014403+00:00,yes,True,0.03,2026-09-22T19:55:46.775636+00:00
HYPE,KXHYPED-26SEP2217-T98.9999,KXHYPED-26SEP2217,10,no,0.93,2026-09-21T23:33:15.684205+00:00,no,True,0.0699999999999999,2026-09-22T22:39:07.063399+00:00
HYPE,KXHYPED-26SEP2217-T91.9999,KXHYPED-26SEP2217,7,yes,0.67,2026-09-21T23:33:15.684288+00:00,yes,True,0.3299999999999999,2026-09-22T22:39:07.063454+00:00
HYPE,KXHYPED-26SEP2217-T90.9999,KXHYPED-26SEP2217,8,yes,0.8,2026-09-21T23:33:15.684314+00:00,yes,True,0.1999999999999999,2026-09-22T22:39:07.063486+00:00
HYPE,KXHYPED-26SEP2217-T89.9999,KXHYPED-26SEP2217,9,yes,0.85,2026-09-21T23:33:15.684338+00:00,yes,True,0.15,2026-09-22T22:39:07.063516+00:00
SOL,KXSOLD-26SEP2217-T126.9999,KXSOLD-26SEP2217,6,no,0.88,2026-09-21T23:33:15.769804+00:00,no,True,0.12,2026-09-22T22:39:07.063557+00:00
SOL,KXSOLD-26SEP2217-T125.9999,KXSOLD-26SEP2217,7,no,0.93,2026-09-21T23:33:15.769847+00:00,no,True,0.0699999999999999,2026-09-22T22:39:07.063592+00:00
SOL,KXSOLD-26SEP2217-T123.9999,KXSOLD-26SEP2217,8,no,0.88,2026-09-21T23:33:15.769875+00:00,no,True,0.12,2026-09-22T22:39:07.063622+00:00
SOL,KXSOLD-26SEP2217-T122.9999,KXSOLD-26SEP2217,9,no,0.83,2026-09-21T23:33:15.769901+00:00,no,True,0.17,2026-09-22T22:39:07.063650+00:00
SOL,KXSOLD-26SEP2217-T121.9999,KXSOLD-26SEP2217,3,no,0.76,2026-09-21T23:33:15.769925+00:00,no,True,0.24,2026-09-22T22:39:07.063678+00:00
SOL,KXSOLD-26SEP2217-T119.9999,KXSOLD-26SEP2217,4,no,0.6,2026-09-21T23:33:15.769949+00:00,no,True,0.4,2026-09-22T22:39:07.063707+00:00
